example_id,conversation_id,tweet_id,customer_message,optional_context,ai_draft_intent,human_intent,ambiguity_flag,human_annotation_notes,annotation_status,annotator_id,annotation_timestamp
GOLDEN_018,916941,916941,I want ios 10 back on my device how can i get that plz help me @115858 the Battery life is worse than i expected i m using 6s,,How-To / Feature Question,,,,pending_human_review,,
GOLDEN_019,1161726,1161726,@AppleSupport literally cannot figure out how to delete a movie off my phone for the life of me since the new update.,,How-To / Feature Question,,,,pending_human_review,,
GOLDEN_020,662817,662817,@AppleSupport ever since I updated my iPhone 6 to iOS 11.1 (currently at 11.1.2) my battery life is terrible.  I lose 10%/hr with the phone locked and in “low power” mode.  Support told me it is a known issue with iOS 11.1 When will it be fixed?,,Device Performance / Hardware,,,,pending_human_review,,
GOLDEN_021,1828408,1828408,I upgraded my phone to iOS11. I had 3GB of storage free. Business as usual and now I am out of storage space. What gives? @AppleSupport,,Device Performance / Hardware,,,,pending_human_review,,
GOLDEN_022,578769,578769,@AppleSupport um hi my iphone SE keeps restarting. It's been doing it all day and I have no idea why. Can you provide any advice? Thanks.,,Device Performance / Hardware,,,,pending_human_review,,
GOLDEN_023,2560428,2560428,@AppleSupport why do my notifications not have a complete background? Just updated last night but happening since new iOS. https\\://t.co/yiLJ9Hh8US,,Software Bug / Glitch,,,,pending_human_review,,
GOLDEN_024,1899631,1899631,I’ve never experienced so much glitches in my phone since updating to the new iOS 😤😤 @115858 @AppleSupport,,Software Bug / Glitch,,,,pending_human_review,,
GOLDEN_025,2726904,2726904,@AppleSupport y’all got me fucked up my X be blacking out and hanging up calls on FaceTime out of no where,,Software Bug / Glitch,,,,pending_human_review,,
GOLDEN_026,848409,848409,@AppleSupport what's happening to my computer? https\\://t.co/HoqpCrRejO,,Device Performance / Hardware,,,,pending_human_review,,
GOLDEN_027,2033047,2033047,@115858 love when all the convenience of the iPad Pro for art is killed in one update #iOS11sucks,,Software Bug / Glitch,,,,pending_human_review,,
GOLDEN_028,103248,103248,Hey @AppleSupport is this a known bug that will be fixed soon? My dock on iPad continues to not stay centered and only a reboot will reset it.  See attached picture. https\\://t.co/d0U1mmK6C1,,Software Bug / Glitch,,,,pending_human_review,,
GOLDEN_029,1716661,1716661,"Yo @AppleSupport can you make this shit stop, please. https\\://t.co/s9ZyLpqJg5",,General Complaint / Venting (Other),,,,pending_human_review,,
GOLDEN_030,2577068,2577068,Fucking @115858 have locked me out of my iTunes account and won’t get me details to get back in. @118721 @AppleSupport 4 Days you said and that was last Friday. 😡😡,,Services & Account,,,,pending_human_review,,
GOLDEN_031,2266164,2266164,I updated my phone &amp; I'm still seeing ? boxes @AppleSupport https\\://t.co/MFe5qaGuVT,,Software Bug / Glitch,,,,pending_human_review,,
GOLDEN_032,2032496,2032496,Updated to iOS 11 and my phone is soo slow with technical glitches. Like WTF?!?   @AppleSupport @115858  Upgrade is supposed to be better!!!,,Device Performance / Hardware,,,,pending_human_review,,
GOLDEN_033,1708545,1708545,"i love having an iphone because when i update the iOS, my battery goes from draining 1% every 10 minutes to draining 10% every 10 minutes.",,Device Performance / Hardware,,,,pending_human_review,,
GOLDEN_034,1886927,1886927,thanks for the new iphone update @115858 my fav feature is how my phone freezes up on me like five times a day,,Device Performance / Hardware,,,,pending_human_review,,
GOLDEN_035,2240709,2240709,@115858 @AppleSupport My new #iPhoneX shows a green line on it’s display just on it’s third day! HELP OUT https\\://t.co/cTtbFTyaaX,,Device Performance / Hardware,,,,pending_human_review,,
GOLDEN_036,1566778,1566778,Anyone else think major govt will yhink that the internet is a mistake for citizens so decide to wipe us all out and re-create a limited internet?,,General Complaint / Venting (Other),,,,pending_human_review,,
GOLDEN_037,1533757,1533757,@115858 I’m gonna need you to fix all the glitches u put on my phone from iOS 11 thank u,,Software Bug / Glitch,,,,pending_human_review,,
GOLDEN_038,2374446,2374446,Am I missing something @AppleSupport on my iPhone X? Is there a way to have FaceID approve family sharing app requests for my kids? Typing passwords is so Iphone 5 😀,,How-To / Feature Question,,,,pending_human_review,,
GOLDEN_039,1544475,1544475,@115858 you’re not about to make me   switch to iPhone 8. Better fix this glitch. You all aren’t slick. https\\://t.co/lJkkeNSr3M,,Software Bug / Glitch,,,,pending_human_review,,
GOLDEN_040,2301526,2301526,"my phone still has that annoying question mark glitch even though I updated it, @115858 wyd",,Software Bug / Glitch,,,,pending_human_review,,
GOLDEN_041,2279863,2279863,So are y’all going to fix our keyboard issue? This should be a piece of cake for y’all @115858,,Software Bug / Glitch,,,,pending_human_review,,
GOLDEN_042,928062,928062,@AppleSupport my iPad Air 2 battery meter seems to be glitchy. Says I have low power &amp; when I plug it in jumps up by anything up to 20%. Sometimes it goes from 20% to 5% in second or like now on 3% for well over an hour of use including on YouTube. Software or hardware issue? https\\://t.co/iRaPBgK7Ha,,Device Performance / Hardware,,,,pending_human_review,,
GOLDEN_043,2013195,2013195,@AppleSupport fix this. i can’t handle this anarchy anymore. https\\://t.co/2wMm0ZGCTd,,General Complaint / Venting (Other),,,,pending_human_review,,
GOLDEN_044,1270333,1270333,@AppleSupport  @170480 @115858  iphone 5s cihazların onarımını mı yoksa cihazı degistiriyorsunuz  cihaz şarj almıyor,,Device Performance / Hardware,,,,pending_human_review,,
GOLDEN_045,2775975,2775975,what happen to find my iphone on icloud site ?@AppleSupport,,Services & Account,,,,pending_human_review,,
GOLDEN_046,545154,545154,@115858 you're really making it hard to not switch to #Android with your poorly tested iOS updates #voluntaryrestart #🤬 https\\://t.co/0K4jpbJJp1,,Software Bug / Glitch,,,,pending_human_review,,
GOLDEN_047,1636517,1636517,". @AppleSupport hey when I️ type the letter ""I"" it changes to I️ can you tell me what to do!? I️ just want to say I️ not iAnbh",,Software Bug / Glitch,,,,pending_human_review,,
GOLDEN_048,2371068,2371068,I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ Hey @115858. Hi!,,Software Bug / Glitch,,,,pending_human_review,,
GOLDEN_049,1475393,1475393,I UPDATED MY PHONE AND THIS STUPID WEIRD SHORTCUT WITH MY “I” STILL KEEPS HAPPENING WTF @AppleSupport,,Software Bug / Glitch,,,,pending_human_review,,
GOLDEN_050,612828,612828,@applesupport Can you help me check my iPhone 7’s battery capacity? It is running down in as little as 3 hours of minimal use.,,Device Performance / Hardware,,,,pending_human_review,,
GOLDEN_051,2063215,2063215,@AppleSupport want to explain how with half an hour after being on 100% I’m now on less than half that? #ios11 #iPhoneUpdate https\\://t.co/fNYqEWuL76,,Device Performance / Hardware,,,,pending_human_review,,
GOLDEN_052,2305134,2305134,@AppleSupport WHY DOES MY IPHONE 7 KEEP FREEZING 🤦🏻‍♂️,,Device Performance / Hardware,,,,pending_human_review,,
GOLDEN_053,764857,764857,@AppleSupport why dont old videos on my phone play? They show a buffering type circle ... very annoying,,Software Bug / Glitch,,,,pending_human_review,,
GOLDEN_054,1803517,1803517,"@115858 iOS 11.0.3 lecturing me about non-genuine parts… B please, I have a new iPhone 7 and it’s not responding to touch either. Morons.",,Device Performance / Hardware,,,,pending_human_review,,
GOLDEN_055,1443127,1443127,@AppleSupport  iPhone 7 battery is draining rapidly with iOS 11.1.2 update!!! Are their any solutions for this problem?,,Device Performance / Hardware,,,,pending_human_review,,
GOLDEN_056,1287049,1287049,@116333 @AppleSupport PLEASE: add a dedicated podcast app to Apple Watch. Forcing us to remain tethered to phone = watch is useless,,General Complaint / Venting (Other),,,,pending_human_review,,
GOLDEN_057,1920136,1920136,"@AppleSupport the new IOS update is dreadful, so many bugs. Sort it out lads",,Software Bug / Glitch,,,,pending_human_review,,
GOLDEN_058,2057265,2057265,"Love having to hard reboot my iPhone because of a frickin' bug with Control Center that renders the whole UI unresponsive. Good QA, @115858.",,Software Bug / Glitch,,,,pending_human_review,,
GOLDEN_059,1478061,1478061,@115858 help! https\\://t.co/X1GpgTQk8p,,General Complaint / Venting (Other),,,,pending_human_review,,
GOLDEN_060,1935747,1935747,@AppleSupport @115858 Apple! What have you guys done w  IOS 11? I was so happy with 10. Phone is so slow :(,,Device Performance / Hardware,,,,pending_human_review,,
GOLDEN_061,156027,156027,"@116333 phones charge port broke and now is making me miss an amazing job opportunity I could have had, thanks Apple",,Device Performance / Hardware,,,,pending_human_review,,
GOLDEN_062,2375289,2375289,"@applesupport Hi there - iphone 5 just stopped connecting to imessage. Turned off/on, rebooted, reset network settings - you name it - I tried it. Activation error. Don't get any messages from people with an iphone (it's not recognizing to switch to SMS). Any ideas? Thanks.",,Services & Account,,,,pending_human_review,,
GOLDEN_063,2032595,2032595,"Whatever y’all did with this recent update FIX IT, TODAY. It’s so much going wrong 😡 @115858 @AppleSupport",,General Complaint / Venting (Other),,,,pending_human_review,,
GOLDEN_064,2743056,2743056,"After updating to #ios11, I accidentally changed wallpaper. While trying to set the original back (see image), it has disappeared suddenly. Where do I find the beautiful wallpapers of ios 10? @AppleSupport https\\://t.co/zPKsqH5bWz",,How-To / Feature Question,,,,pending_human_review,,
GOLDEN_065,2310382,2310382,what the actual fuck why can’t i️ send the letter fucking i️ @115858,,Software Bug / Glitch,,,,pending_human_review,,
GOLDEN_066,172952,172952,@115858 when I delete voice mails they pop back in... why? I just updated last night.,,Software Bug / Glitch,,,,pending_human_review,,
GOLDEN_067,2341796,2341796,WHAT IS HAPPENING WHY ARE MY CONTACTS ALL MISSING I JUST UPDATED TO 11.1.1 HELLOOOO I NEED HELP @115858,,Software Bug / Glitch,,,,pending_human_review,,
GOLDEN_068,2296233,2296233,Hey @AppleSupport if I have the first Apple Watch wich I paid 1000 usd for the space gray black link bracelet 42 mm is there a way to trade in for the new one.,,Purchase & Store Operations,,,,pending_human_review,,
GOLDEN_069,1867183,1867183,"Anyone else lose all their valuable Notes after iOS upgrade? No, just me? @AppleSupport",,Software Bug / Glitch,,,,pending_human_review,,
GOLDEN_070,2014992,2014992,Yo @AppleSupport are you just not going to fix this glitch with the letter i? It’s been like 3 days this is ridiculous.,,Software Bug / Glitch,,,,pending_human_review,,
GOLDEN_071,1449264,1449264,@AppleSupport just updated and now my imusic has completely gone to shit. Cant even get it to open.,,Software Bug / Glitch,,,,pending_human_review,,
GOLDEN_072,956371,956371,@AppleSupport Has using an ‘ always caused the character limit in a text message to drop from 160 to 70? Or is that a bug? ;\\\~;,,Software Bug / Glitch,,,,pending_human_review,,
GOLDEN_073,1754118,1754118,@115858 fix this I️ shit,,Software Bug / Glitch,,,,pending_human_review,,
GOLDEN_074,538715,538715,@115858 New #iPhoneX #iOS 11.1 #Bug: Screen flickers in Mail App - probably software bug. @175600 @138069 @176071 @244902 @24575 https\\://t.co/f0DivXcTCj,,Software Bug / Glitch,,,,pending_human_review,,
GOLDEN_075,1980402,1980402,@AppleSupport My Guest Account is still appearing even  though it is turned off in Users &amp; Groups. https\\://t.co/IO8o1sx5w8,,Software Bug / Glitch,,,,pending_human_review,,
GOLDEN_076,1734454,1734454,Seriously wtf @AppleSupport https\\://t.co/2PXGjBhJ4K,,General Complaint / Venting (Other),,,,pending_human_review,,
GOLDEN_077,2791304,2791304,"Encore raté #UPS. Décidément je n'ai pas de chance. Ils déposent un avis de passage et n'ont même pas appuyé sur ma sonnette. Comme c'est la 3e fois que ça m'arrive avec UPS, il me semble important d'en parler ici. Merci @AppleSupport et merci @UPSHelp de votre aide.",,Purchase & Store Operations,,,,pending_human_review,,
GOLDEN_078,2373241,2373241,.\\@115858 your earpods are poppin' in my ear 😤😵😰🤔,,Device Performance / Hardware,,,,pending_human_review,,
GOLDEN_079,2017372,2017372,@115858 release a new phone &amp; my current phone starts to become very slow &amp; buggy overnight...,,Device Performance / Hardware,,,,pending_human_review,,
GOLDEN_080,639697,639697,Wow @AppleSupport been waiting for 40 minutes now trying to resolve an issue on a hack.,,General Complaint / Venting (Other),,,,pending_human_review,,
GOLDEN_081,1897247,1897247,@AppleSupport any idea why the numerical display doesn’t match the hour hand? https\\://t.co/RhM5plFK2A,,Software Bug / Glitch,,,,pending_human_review,,
GOLDEN_082,2152154,2152154,@115858 u tellin me that if u turn off your device and it’s on the charger it doesn’t charge anymore 😭🤦🏻‍♀️🤦🏻‍♀️🤦🏻‍♀️🤦🏻‍♀️🤦🏻‍♀️🤦🏻‍♀️🤦🏻‍♀️ i have been charging my ipad for 2 hours and i turned it off at 30 % JUST turned it back on and it’s at 37 😭,,Device Performance / Hardware,,,,pending_human_review,,
GOLDEN_083,1359162,1359162,@AppleSupport i got my reservation number but https\\://t.co/jUaGGTUlU2 keeps on saying cant find reservation. Whats the deal??!       iphonex,,Purchase & Store Operations,,,,pending_human_review,,
GOLDEN_084,1924529,1924529,"hey @115858, i️ think we have a problem",,General Complaint / Venting (Other),,,,pending_human_review,,
GOLDEN_085,1194025,1194025,Can I update my #iOS to 11.0.3 now or are there still problems? #Apple #iPhone #iOS1103 @AppleSupport,,How-To / Feature Question,,,,pending_human_review,,
GOLDEN_086,2131167,2131167,@AppleSupport Can you guys help me with a problem I’m having with my AirPods,,Device Performance / Hardware,,,,pending_human_review,,
GOLDEN_087,2479039,2479039,"@115858 hello there called apple hotline and asked me to backup and erase my iphone. After restoring, I can't log onto iCloud.. can someone help?",,Services & Account,,,,pending_human_review,,
GOLDEN_088,2015468,2015467,@558197 I️ lied my shit is all fucked up but there’s a new update to 11.1 to supposedly fix it,,General Complaint / Venting (Other),,,,pending_human_review,,
GOLDEN_089,1419662,1419662,@AppleSupport Hi.. would be a problem if I have connected Apple car (via cable) and iPhone X on the wireless charger on my car at same time?,,How-To / Feature Question,,,,pending_human_review,,
GOLDEN_090,1874918,1874918,New iOS update keeps turning on my bluetooth. I’ve never connected my phone using BT ever. Explanation @AppleSupport ??,,Software Bug / Glitch,,,,pending_human_review,,
GOLDEN_091,701678,701678,Hey @115858   Whatever infected update you sent out just so we would all go buy a new iPhone is really pissing me off. Stop your bullshit. This is all that happens now. From the MOMENT I updated my goddamn phone. https\\://t.co/OaJs5CoQoq,,General Complaint / Venting (Other),,,,pending_human_review,,
GOLDEN_092,2129143,2129143,@AppleSupport explain this https\\://t.co/l3d7kWscKw,,General Complaint / Venting (Other),,,,pending_human_review,,
GOLDEN_093,1880815,1880815,"@115858 uhm your latest Update on iPhone (for me a 6) seriously sucks ass!! My phone is slow, doesnt react, eats the battery 😒 https\\://t.co/KxRY3LeS39",,Device Performance / Hardware,,,,pending_human_review,,
GOLDEN_094,323025,323025,@115858 @AppleSupport Siri has gotten worse not better with new update. She gets everything wrong... even setting timers! What happened?!,,Software Bug / Glitch,,,,pending_human_review,,
GOLDEN_095,2446439,2446439,@AppleSupport IM FUCKING TIRED OF YALL BS . I been a loyal customer since 4th grade . YALL NEED TO MAKE BETTER CHARGERS BCZ THE SHIT IS 👎🏾. ALSO MY PHONE BE TRIPPING LIKE A MF’ . SIS YALL GOTTA DO BETTER . YALL GOT ONE MORE TIME TO MAKE MY PHONE CRASH AND IM REPORTIN YALL 😘,,Device Performance / Hardware,,,,pending_human_review,,
GOLDEN_096,2774321,2774321,"I asked 4 different members of staff in the @115858 store, what I needed to buy to be able to quick charge my iPhone 8 Plus, and non of them knew 🤔?",,Purchase & Store Operations,,,,pending_human_review,,
GOLDEN_097,1679974,1679974,Is @115858 going to fix this box and exclamation mark issue or what?,,Software Bug / Glitch,,,,pending_human_review,,
GOLDEN_098,2013455,2013455,Officially stayed up to watch the clock turn back to 1am and now it’s time for sleep,,General Complaint / Venting (Other),,,,pending_human_review,,
GOLDEN_099,1674128,1674128,"@115858 this new updat3 ( 11.1 ) MURDERS my battery. When will you guys get an update right? Why do  you fix one problem, and create 50 more?",,Device Performance / Hardware,,,,pending_human_review,,
GOLDEN_100,1983470,1983470,"Omg! @115858 is making my life fucking miserable right now. What do I pay so much for your shitty products? Can’t even work together, buggy 😡",,General Complaint / Venting (Other),,,,pending_human_review,,
GOLDEN_101,663855,663855,"In the last 24 hours I’ve had songs on playlists removed from my downloads and now full albums after updating phone, what gives @115858 😡",,Software Bug / Glitch,,,,pending_human_review,,
GOLDEN_102,552144,552144,@115858 @AppleSupport just got hung up on after 15 minutes on hold. i was just trying to get a price for a damn battery replacement 🤬🤬🤬,,Purchase & Store Operations,,,,pending_human_review,,
GOLDEN_103,2010260,2010260,@AppleSupport PLEASE FIX THIS ANNOYING ASS GLITCH!! https\\://t.co/yctquiqRYI,,General Complaint / Venting (Other),,,,pending_human_review,,
GOLDEN_104,816605,816605,@AppleSupport me help,,General Complaint / Venting (Other),,,,pending_human_review,,
GOLDEN_105,2614240,2614240,It should now be called I️phone since they can’t fix it @115858,,Software Bug / Glitch,,,,pending_human_review,,
GOLDEN_106,809506,809506,@AppleSupport Hi is the server down? Can't log in due to can't connect to server,,Services & Account,,,,pending_human_review,,
GOLDEN_107,2472884,2472884,My iPad is the slowest thing ever since I update the ios @115858 what the hell,,Device Performance / Hardware,,,,pending_human_review,,
GOLDEN_108,2305507,2305507,@AppleSupport  I bought Mac OS X 10.8 Mountain Lion when i get the code to redeem i notice that I bought   Mac OS X 10.7 Lion which already I have .  Can you please change it to 10.8 ?,,Purchase & Store Operations,,,,pending_human_review,,
GOLDEN_109,1896438,1896438,@AppleSupport how is my phone losing battery power while it’s plugged into the wall (says charging) &amp; on low power mode????,,Device Performance / Hardware,,,,pending_human_review,,
GOLDEN_110,1671240,1671240,@115858 fix this ‘I’ bullshit. Plz,,Software Bug / Glitch,,,,pending_human_review,,
GOLDEN_111,374778,374778,Thank you! @35066 @116333 https\\://t.co/Je053NGwvC,,General Complaint / Venting (Other),,,,pending_human_review,,
GOLDEN_112,2978781,2978781,"@AppleSupport my phone seems to get more and More messed up. Not only is address book synch a drama, now text even getting worse than it was... https\\://t.co/8IOSl27SUm",,Software Bug / Glitch,,,,pending_human_review,,
GOLDEN_113,1527719,1527719,@AppleSupport  @115858  just got my iPhone X and the activation server is failing. I've had every iPhone to the X and this is a first. Help?,,Purchase & Store Operations,,,,pending_human_review,,
GOLDEN_114,1296823,1296823,Wish that @AppleSupport would fix the ringtones issue. I have numerous customized ringtones that won't work in #iOS11. Annoying.,,Software Bug / Glitch,,,,pending_human_review,,
GOLDEN_115,1586877,1586877,"@AppleSupport hi my laptop has been doing this for over 12 hours and i can’t shut it down or anything, any suggestions ? https\\://t.co/X8Aq8qgLWm",,Device Performance / Hardware,,,,pending_human_review,,
GOLDEN_116,170360,170360,@AppleSupport my brothers iPhone 5 has stopped working. Connected to iTunes for update. As soon as it finished it switched off and won’t turn back on even on the charger. Any help?,,Device Performance / Hardware,,,,pending_human_review,,
GOLDEN_117,1717467,1717467,@AppleSupport How many times will it take for my MBP screen to be repaired correctly going on my 3rd DOA display in 2weeks,,Purchase & Store Operations,,,,pending_human_review,,
GOLDEN_118,2573945,2573945,@115858 why does my iphone battery gets sucked off dry very quickly ?,,Device Performance / Hardware,,,,pending_human_review,,
GOLDEN_119,881163,881163,@AppleSupport this apple update has turned my phone into a dumb phone...Siri just calls random people,,Software Bug / Glitch,,,,pending_human_review,,
GOLDEN_120,1408175,1408175,@115858 y'all gotta release a new update soon bc my phone is beyond acting up,,General Complaint / Venting (Other),,,,pending_human_review,,
GOLDEN_121,2404958,2404958,@AppleSupport I've had a very strange email about an invoice? I haven't even got an apple id,,Services & Account,,,,pending_human_review,,
GOLDEN_122,2385126,2385126,What’s up with the iphone7 speaker working when it wants? @115858 I lost a priceless voice memo because my speaker didn’t record the sound,,Device Performance / Hardware,,,,pending_human_review,,
GOLDEN_123,877719,877719,man am I regretting updating to #HighSierra .. tons of major issues. @AppleSupport @115858 ya'll are really slipping with QA,,General Complaint / Venting (Other),,,,pending_human_review,,
GOLDEN_124,2834473,2834473,"Hey @AppleSupport ... Why is ""System"" taking up over 50gb of my hard disk space? Surely MacOS isn't that big? https\\://t.co/UbTJbdeoRm",,Device Performance / Hardware,,,,pending_human_review,,
GOLDEN_125,505098,505098,Anyone else having icons disappear on iOS 11.1.2? Very annoying! @115858,,Software Bug / Glitch,,,,pending_human_review,,
GOLDEN_126,199343,199343,@AppleSupport hi i have an issue with my iPhone- it was work then i called apple after that it doesn't work ....they we can do nothing,,Device Performance / Hardware,,,,pending_human_review,,
GOLDEN_127,618563,618563,مشكلة البطارية في #ios11 مستمرة والآن وصلت الى iphone 8 plus مع التحديث الأخير 11.0.2 !!  https\\://t.co/eVoFgOeN2B @AppleSupport #WTF,,Device Performance / Hardware,,,,pending_human_review,,
GOLDEN_128,1070176,1070176,٨ شهور ولسا بصمه ايدك علي موبايلي🙂. https\\://t.co/VWGqTZn7R9,,General Complaint / Venting (Other),,,,pending_human_review,,
GOLDEN_129,1598234,1598234,My phone keeps freezing 😡 @AppleSupport @115858 fix it,,Device Performance / Hardware,,,,pending_human_review,,
GOLDEN_130,546630,546630,Why is this always happening @115858 #iphonex https\\://t.co/ddCQXId5U4,,General Complaint / Venting (Other),,,,pending_human_review,,
GOLDEN_131,2014921,2014921,I guess @115858 is just gonna keep axing like this I️ situation isn’t going on? #Update,,General Complaint / Venting (Other),,,,pending_human_review,,
GOLDEN_132,2266128,2266128,Thanks for thrashing my battery with your new bullshit update. Get your shit together @115858,,Device Performance / Hardware,,,,pending_human_review,,
GOLDEN_133,1591993,1591993,Hello @115858  My iphone 6s battery is draining very fast even on stand by. I have the latet ios 11.1 running in the phone. Can you help me?,,Device Performance / Hardware,,,,pending_human_review,,
GOLDEN_134,2064248,2064248,@AppleSupport updated 11.0.2 and now my phone is freezing up and screen rotation sticking in landscape mode!!!!,,Device Performance / Hardware,,,,pending_human_review,,
GOLDEN_135,2637004,2637004,"hi, If you dont have the ability and quality of developing ios so please don't do it!! None of my photos or videos that I took with last version are not loading clarity.  The phone crashes at least 2 times every day. This is unbearable @AppleSupport https\\://t.co/3uClpasA2L",,Device Performance / Hardware,,,,pending_human_review,,
GOLDEN_136,1713007,1713007,Apple also needs to fix how my music stops playing when I get a notification. I’m so annoyed. Y’all fucked up. @115858,,Software Bug / Glitch,,,,pending_human_review,,
GOLDEN_137,2744275,2744275,Why are @115858 @AppleSupport taking so long to unlock my phone from @121122 ? Or is it Vodaphones fault whatever the case - I'm phone-less until they sort themselves out 😡😡,,Services & Account,,,,pending_human_review,,
GOLDEN_138,1013196,1013196,@AppleSupport ya’ll need to fix my damn phone cuz IOS 11 made my phone shitty,,General Complaint / Venting (Other),,,,pending_human_review,,
GOLDEN_139,2010656,2010656,@AppleSupport @115858 can you get yourselves together and fix the “i” glitch please??? it’s taking over every app i have on my phone.,,Software Bug / Glitch,,,,pending_human_review,,
GOLDEN_140,326756,326756,"@AppleSupport when I turn off airplane mode , suddenly WiFi and Bluetooth turn on. https\\://t.co/ajymNO2gjW",,Software Bug / Glitch,,,,pending_human_review,,
GOLDEN_141,1768821,1768821,@70441 you mentioned getting a weird symbol when you typed the letter “ I️ “ well I️ am getting it now as well! @AppleSupport HELP!,,Software Bug / Glitch,,,,pending_human_review,,
GOLDEN_142,366019,366019,With this new OS update the failure rate for sending messages has increased. Enjoy the ability of missing messages @115858,,Software Bug / Glitch,,,,pending_human_review,,
GOLDEN_143,1579101,1579101,I can’t stand how fast this bullshit 7+ battery dies.... @115858,,Device Performance / Hardware,,,,pending_human_review,,
GOLDEN_144,2077168,2077168,"@AppleSupport Dear Team, I am using I phone 6s , I have update latest os 11 but faced lot of problems, Hanging on call history. Kindly check",,Software Bug / Glitch,,,,pending_human_review,,
GOLDEN_145,365698,365698,Hey @AppleSupport thanks for forcing me to update my phone then have it crash every 6 seconds 👍🏻,,Device Performance / Hardware,,,,pending_human_review,,
GOLDEN_146,955697,955697,"@AppleSupport So my apple iD just got hacked and obviously, I got an African mum. Can we sort this before she scroll's down OUR contacts? :/",,Services & Account,,,,pending_human_review,,
GOLDEN_147,1828438,1828438,And I turn off wifi and bluetooth in the pull up menu but when I go to settings they’re still on. What is the deal??? @115858 #iphone #iOS11 https\\://t.co/ZJnLpeDeLD,,Software Bug / Glitch,,,,pending_human_review,,
GOLDEN_148,170358,170358,Uh oh I’m having iPhone X issues. Let’s hope you can fix this @115858.,,General Complaint / Venting (Other),,,,pending_human_review,,
GOLDEN_149,2353677,2353677,@115858 needs to fix this “I️” issue! 😩🙄,,Software Bug / Glitch,,,,pending_human_review,,
